"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.ID","Gene.symbol","Gene.title"
"201989_s_at","201989_s_at",1.97840859498565e-10,5.22600468865904e-15,-22.2257501109219,3.84828501240136,-337.956716,"1389","CREBL2","cAMP responsive element binding protein like 2"
"208651_x_at","208651_x_at",2.12247386385461e-10,1.121311178305e-14,21.3131860705099,3.80200683623064,1251.2745844,"100133941","CD24","CD24 molecule"
"224345_x_at","224345_x_at",3.7684742711372e-10,3.38832723237718e-14,-20.052542413799,3.72845647681521,-404.611000000001,"26355","FAM162A","family with sequence similarity 162 member A"
"225613_at","225613_at",3.7684742711372e-10,4.9101851931727e-14,-19.6451966926155,3.70193354930504,-249.3430518,"375449","MAST4","microtubule associated serine/threonine kinase family member 4"
"216379_x_at","216379_x_at",3.7684742711372e-10,6.85695543318932e-14,19.2849694558935,3.67721869164037,4002.9315495,"100133941","CD24","CD24 molecule"
"225611_at","225611_at",3.7684742711372e-10,6.90659683582996e-14,-19.2772551052072,3.67667588223871,-172.496291,"375449","MAST4","microtubule associated serine/threonine kinase family member 4"
"1562736_at","1562736_at",3.7684742711372e-10,6.96814853209721e-14,-19.2677703545845,3.67600770572514,-79.21948495,"56956","LHX9","LIM homeobox 9"
"209771_x_at","209771_x_at",4.39803872827286e-10,9.52127189715604e-14,18.9367329683816,3.65212569483876,4659.6036618,"100133941","CD24","CD24 molecule"
"229942_at","229942_at",4.39803872827286e-10,1.05020788875179e-13,-18.8338333154809,3.64447387844746,-291.4573958,"54796","BNC2","basonuclin 2"
"235141_at","235141_at",4.39803872827286e-10,1.30394210668585e-13,18.6084995318128,3.62732406927545,152.4493691,"153562","MARVELD2","MARVEL domain containing 2"
"228335_at","228335_at",4.39803872827286e-10,1.33630826187787e-13,-18.583123096132,3.62535811979026,-1747.0621523,"5010","CLDN11","claudin 11"
"225846_at","225846_at",4.39803872827286e-10,1.39410055575651e-13,18.5393767611,3.62195229092768,178.0728303,"54845","ESRP1","epithelial splicing regulatory protein 1"
"219121_s_at","219121_s_at",8.16758497466425e-10,2.80472844310524e-13,17.8303296855048,3.56364922606342,109.6274675,"54845","ESRP1","epithelial splicing regulatory protein 1"
"45526_g_at","45526_g_at",1.20300585733502e-09,4.44886863795078e-13,17.3757769940845,3.52295822394686,165.244448,"79903","NAA60","N(alpha)-acetyltransferase 60, NatF catalytic subunit"
"201431_s_at","201431_s_at",1.60124958257115e-09,6.3445977596131e-13,-17.0330865667207,3.49039903310336,-1459.6463,"1809","DPYSL3","dihydropyrimidinase like 3"
"229273_at","229273_at",2.08399375004745e-09,8.80785587890195e-13,16.7217059436709,3.45930832136778,254.6085124,"6299","SALL1","spalt like transcription factor 1"
"220942_x_at","220942_x_at",2.55938046645442e-09,1.18593577855573e-12,-16.4436816968389,3.43026049768353,-594.526708000001,"26355","FAM162A","family with sequence similarity 162 member A"
"202992_at","202992_at",2.55938046645442e-09,1.21691756864463e-12,-16.4197709745408,3.42770326779646,-3065.601111,"730","C7","complement component 7"
